instance,data_set,n_items,algorithm,height,lower_bound,gap_pct
BKW08,data/bkw,80,bf-TN,83,80,3.7500
BKW08,data/bkw,80,bf-SN,85,80,6.2500
BKW08,data/bkw,80,bbf-best288,82,80,2.5000
BKW08,data/bkw,80,twbf-best18,83,80,3.7500
BKW08,data/bkw,80,ish-core,82,80,2.5000
BKW08,data/bkw,80,sh-greedy,99,80,23.7500
BKW08,data/bkw,80,ffdh,108,80,35.0000
BKW08,data/bkw,80,bfdh,108,80,35.0000
BKW08,data/bkw,80,sas,105,80,31.2500
BKW08,data/bkw,80,sasm,104,80,30.0000
BKW08,data/bkw,80,bfs,88,80,10.0000
BKW08,data/bkw,80,sc,87,80,8.7500
BKW08,data/bkw,80,scr,88,80,10.0000
BKW08,data/bkw,80,fh,81,80,1.2500
BKW09,data/bkw,100,bf-LM,163,150,8.6667
BKW09,data/bkw,100,bf-TN,163,150,8.6667
BKW09,data/bkw,100,bf-SN,163,150,8.6667
BKW09,data/bkw,100,bbf-best288,152,150,1.3333
BKW09,data/bkw,100,twbf-best18,154,150,2.6667
BKW09,data/bkw,100,ish-core,152,150,1.3333
BKW09,data/bkw,100,sh-greedy,171,150,14.0000
BKW09,data/bkw,100,ffdh,181,150,20.6667
BKW09,data/bkw,100,bfdh,182,150,21.3333
BKW09,data/bkw,100,sas,204,150,36.0000
BKW09,data/bkw,100,sasm,239,150,59.3333
BKW09,data/bkw,100,bfs,164,150,9.3333
BKW09,data/bkw,100,sc,160,150,6.6667
BKW09,data/bkw,100,scr,161,150,7.3333
BKW09,data/bkw,100,fh,153,150,2.0000
BKW10,data/bkw,200,bf-LM,153,150,2.0000
BKW10,data/bkw,200,bf-TN,158,150,5.3333
BKW10,data/bkw,200,bf-SN,154,150,2.6667
BKW10,data/bkw,200,bbf-best288,151,150,0.6667
BKW10,data/bkw,200,twbf-best18,152,150,1.3333
BKW10,data/bkw,200,ish-core,151,150,0.6667
BKW10,data/bkw,200,sh-greedy,161,150,7.3333
BKW10,data/bkw,200,ffdh,191,150,27.3333
BKW10,data/bkw,200,bfdh,191,150,27.3333
BKW10,data/bkw,200,sas,196,150,30.6667
BKW10,data/bkw,200,sasm,185,150,23.3333
BKW10,data/bkw,200,bfs,166,150,10.6667
BKW10,data/bkw,200,sc,161,150,7.3333
BKW10,data/bkw,200,scr,155,150,3.3333
BKW10,data/bkw,200,fh,151,150,0.6667
BKW11,data/bkw,300,bf-LM,153,150,2.0000
BKW11,data/bkw,300,bf-TN,153,150,2.0000
BKW11,data/bkw,300,bf-SN,154,150,2.6667
BKW11,data/bkw,300,bbf-best288,151,150,0.6667
BKW11,data/bkw,300,twbf-best18,152,150,1.3333
BKW11,data/bkw,300,ish-core,151,150,0.6667
BKW11,data/bkw,300,sh-greedy,160,150,6.6667
BKW11,data/bkw,300,ffdh,169,150,12.6667
BKW11,data/bkw,300,bfdh,170,150,13.3333
BKW11,data/bkw,300,sas,210,150,40.0000
BKW11,data/bkw,300,sasm,248,150,65.3333
BKW11,data/bkw,300,bfs,156,150,4.0000
BKW11,data/bkw,300,sc,156,150,4.0000
BKW11,data/bkw,300,scr,154,150,2.6667
BKW11,data/bkw,300,fh,151,150,0.6667
BKW12,data/bkw,500,bf-LM,347,300,15.6667
BKW12,data/bkw,500,bf-TN,305,300,1.6667
BKW12,data/bkw,500,bf-SN,363,300,21.0000
BKW12,data/bkw,500,bbf-best288,302,300,0.6667
BKW12,data/bkw,500,twbf-best18,306,300,2.0000
BKW12,data/bkw,500,ish-core,302,300,0.6667
BKW12,data/bkw,500,sh-greedy,331,300,10.3333
BKW12,data/bkw,500,ffdh,372,300,24.0000
BKW12,data/bkw,500,bfdh,373,300,24.3333
BKW12,data/bkw,500,sas,372,300,24.0000
BKW12,data/bkw,500,sasm,344,300,14.6667
BKW12,data/bkw,500,bfs,314,300,4.6667
BKW12,data/bkw,500,sc,312,300,4.0000
BKW12,data/bkw,500,scr,318,300,6.0000
BKW12,data/bkw,500,fh,302,300,0.6667
BKW13,data/bkw,3152,bf-LM,968,960,0.8333
BKW13,data/bkw,3152,bf-TN,965,960,0.5208
BKW13,data/bkw,3152,bf-SN,968,960,0.8333
BKW13,data/bkw,3152,twbf-best18,964,960,0.4167
BKW13,data/bkw,3152,ish-core,964,960,0.4167
BKW13,data/bkw,3152,ffdh,1003,960,4.4792
BKW13,data/bkw,3152,bfdh,1003,960,4.4792
BKW13,data/bkw,3152,sas,1034,960,7.7083
BKW13,data/bkw,3152,sasm,1002,960,4.3750
BKW13,data/bkw,3152,bfs,972,960,1.2500
BKW13,data/bkw,3152,sc,972,960,1.2500
BKW13,data/bkw,3152,scr,975,960,1.5625
BKW13,data/bkw,3152,fh,960,960,0.0000
N1A,data/nt,17,bf-LM,229,200,14.5000
N1A,data/nt,17,bf-TN,229,200,14.5000
N1A,data/nt,17,bf-SN,229,200,14.5000
N1A,data/nt,17,bbf-best288,220,200,10.0000
N1A,data/nt,17,twbf-best18,226,200,13.0000
N1A,data/nt,17,ish-core,219,200,9.5000
N1A,data/nt,17,sh-greedy,246,200,23.0000
N1A,data/nt,17,ffdh,297,200,48.5000
N1A,data/nt,17,bfdh,297,200,48.5000
N1A,data/nt,17,sas,275,200,37.5000
N1A,data/nt,17,sasm,274,200,37.0000
N1A,data/nt,17,bfs,262,200,31.0000
N1A,data/nt,17,sc,262,200,31.0000
N1A,data/nt,17,scr,263,200,31.5000
N1A,data/nt,17,fh,239,200,19.5000
N1B,data/nt,17,bf-LM,235,200,17.5000
N1B,data/nt,17,bf-TN,224,200,12.0000
N1B,data/nt,17,bf-SN,227,200,13.5000
N1B,data/nt,17,bbf-best288,218,200,9.0000
N1B,data/nt,17,twbf-best18,220,200,10.0000
N1B,data/nt,17,ish-core,211,200,5.5000
N1B,data/nt,17,sh-greedy,244,200,22.0000
N1B,data/nt,17,ffdh,290,200,45.0000
N1B,data/nt,17,bfdh,290,200,45.0000
N1B,data/nt,17,sas,343,200,71.5000
N1B,data/nt,17,sasm,337,200,68.5000
N1B,data/nt,17,bfs,243,200,21.5000
N1B,data/nt,17,sc,254,200,27.0000
N1B,data/nt,17,scr,258,200,29.0000
N1B,data/nt,17,fh,222,200,11.0000
N1C,data/nt,17,bf-LM,261,200,30.5000
N1C,data/nt,17,bf-TN,230,200,15.0000
