ordering,selection,placement,mean_gap_pct,mean_gap_c,mean_gap_bkw,mean_gap_nt,instances
perimeter,first-fit,SN,10.7614,10.297614285714285,6.956723076923077,11.607142857142858,104
diagonal,nre,TN,10.7678,15.337304761904761,3.2900615384615386,10.785714285714286,104
diagonal,nre,MinD,10.8167,11.031752380952382,4.7131384615384615,11.885714285714286,104
diagonal,tre,SN,11.0684,11.574066666666667,6.081730769230769,11.842857142857143,104
area,tre,MaxD,11.1040,12.275133333333333,5.657046153846154,11.764285714285714,104
maxside,first-fit,SN,11.1149,8.862438095238096,6.371792307692307,12.67142857142857,104
width,first-fit,SN,11.1149,8.862438095238096,6.371792307692307,12.67142857142857,104
diagonal,first-fit,SN,11.2034,9.91402380952381,7.804492307692308,12.221428571428572,104
maxside,nre,SN,11.2437,10.013228571428572,6.466346153846154,12.5,104
width,nre,SN,11.2437,10.013228571428572,6.466346153846154,12.5,104
area,first-fit,SN,11.3115,12.599214285714286,7.177884615384616,11.692857142857143,104
area,tre,LM,11.3500,12.777785714285715,6.697115384615385,11.785714285714286,104
perimeter,nre,TN,11.3717,15.3836,4.584938461538462,11.428571428571429,104
perimeter,nre,LM,11.4674,11.2897,4.424684615384615,12.82857142857143,104
maxside,nre,LM,11.6780,10.767204761904761,6.299676923076923,12.95,104
width,nre,LM,11.6780,10.767204761904761,6.299676923076923,12.95,104
area,tre,RM,11.7285,13.101857142857142,7.125007692307692,12.17142857142857,104
maxside,nre,RM,11.8291,10.396833333333333,7.838146153846154,13.0,104
width,nre,RM,11.8291,10.396833333333333,7.838146153846154,13.0,104
diagonal,nre,LM,11.8407,10.734133333333332,5.040061538461538,13.435714285714285,104
area,tre,MinD,11.8452,12.612438095238096,6.195515384615384,12.664285714285715,104
area,tre,SN,11.9392,13.24734761904762,6.729169230769231,12.514285714285714,104
perimeter,nre,RM,11.9481,11.507942857142856,4.1875,13.521428571428572,104
maxside,nre,TN,12.1094,13.4127,5.208338461538461,13.0,104
width,nre,TN,12.1094,13.4127,5.208338461538461,13.0,104
diagonal,nre,RM,12.1786,12.328047619047618,4.206723076923077,13.614285714285714,104
perimeter,nre,MaxD,12.2868,15.006614285714285,5.206738461538461,12.785714285714286,104
diagonal,nre,MaxD,12.7628,14.451052380952381,4.988784615384615,13.7,104
maxside,nre,MaxD,12.9173,12.47355238095238,4.2660230769230765,14.657142857142857,104
width,nre,MaxD,12.9173,12.47355238095238,4.2660230769230765,14.657142857142857,104
area,nre,MinD,13.2953,11.382280952380952,9.591353846153845,14.557142857142857,104
area,nre,TN,13.3196,12.724871428571428,8.116992307692307,14.464285714285714,104
area,nre,RM,13.3212,12.566142857142857,8.04006923076923,14.528571428571428,104
area,nre,SN,13.5899,11.468261904761905,10.3093,14.835714285714285,104
area,fitness-number,LM,13.6155,12.36772380952381,9.5609,14.742857142857142,104
area,fitness-number,MaxD,13.6155,12.36772380952381,9.5609,14.742857142857142,104
