instance,group,n_items,arm,ordering,selection,placement,tower_removal,vertical_niche,engine,height,lower_bound,gap_pct,raises,buried_pct,top_waste_pct,time_ms
PVA10002,a,100,grid,width,widest-fit,SN,T,T,solve,1084,985,10.0508,,,,9.6
PVA10002,a,100,grid,width,widest-fit,MinD,F,F,measure,1071,985,8.7310,80,5.7791,3.0231,5.1
PVA10002,a,100,grid,width,widest-fit,MinD,F,T,solve,1077,985,9.3401,,,,10.1
PVA10002,a,100,grid,width,widest-fit,MinD,T,F,measure,1071,985,8.7310,80,5.7791,3.0231,6.5
PVA10002,a,100,grid,width,widest-fit,MinD,T,T,solve,1077,985,9.3401,,,,7.6
PVA10002,a,100,grid,width,widest-fit,MaxD,F,F,measure,1078,985,9.4416,78,5.8553,3.6576,5.3
PVA10002,a,100,grid,width,widest-fit,MaxD,F,T,solve,1103,985,11.9797,,,,8.6
PVA10002,a,100,grid,width,widest-fit,MaxD,T,F,measure,1078,985,9.4416,78,5.8553,3.6576,4.3
PVA10002,a,100,grid,width,widest-fit,MaxD,T,T,solve,1103,985,11.9797,,,,7.8
PVA10002,a,100,grid,width,first-fit,TN,F,F,measure,1063,985,7.9188,86,6.0681,1.9219,5.3
PVA10002,a,100,grid,width,first-fit,TN,F,T,solve,1070,985,8.6294,,,,6.1
PVA10002,a,100,grid,width,first-fit,TN,T,F,measure,1063,985,7.9188,86,6.0681,1.9219,5.0
PVA10002,a,100,grid,width,first-fit,TN,T,T,solve,1070,985,8.6294,,,,9.2
PVA10002,a,100,grid,width,first-fit,SN,F,F,measure,1107,985,12.3858,81,8.1414,4.3156,5.1
PVA10002,a,100,grid,width,first-fit,SN,F,T,solve,1105,985,12.1827,,,,7.7
PVA10002,a,100,grid,width,first-fit,SN,T,F,measure,1107,985,12.3858,81,8.1414,4.3156,5.1
PVA10002,a,100,grid,width,first-fit,SN,T,T,solve,1105,985,12.1827,,,,7.8
PVA10002,a,100,grid,width,first-fit,LM,F,F,measure,1101,985,11.7766,86,9.2923,2.5556,4.5
PVA10002,a,100,grid,width,first-fit,LM,F,T,solve,1098,985,11.4721,,,,9.1
PVA10002,a,100,grid,width,first-fit,LM,T,F,measure,1101,985,11.7766,86,9.2923,2.5556,4.7
PVA10002,a,100,grid,width,first-fit,LM,T,T,solve,1098,985,11.4721,,,,7.1
PVA10002,a,100,grid,width,first-fit,RM,F,F,measure,1102,985,11.8782,87,9.7474,2.2020,4.4
PVA10002,a,100,grid,width,first-fit,RM,F,T,solve,1082,985,9.8477,,,,8.1
PVA10002,a,100,grid,width,first-fit,RM,T,F,measure,1102,985,11.8782,87,9.7474,2.2020,5.4
PVA10002,a,100,grid,width,first-fit,RM,T,T,solve,1082,985,9.8477,,,,10.5
PVA10002,a,100,grid,width,first-fit,MinD,F,F,measure,1075,985,9.1371,86,6.4043,2.8041,4.5
PVA10002,a,100,grid,width,first-fit,MinD,F,T,solve,1065,985,8.1218,,,,6.1
PVA10002,a,100,grid,width,first-fit,MinD,T,F,measure,1075,985,9.1371,86,6.4043,2.8041,5.5
PVA10002,a,100,grid,width,first-fit,MinD,T,T,solve,1065,985,8.1218,,,,6.6
PVA10002,a,100,grid,width,first-fit,MaxD,F,F,measure,1089,985,10.5584,84,7.2878,3.3418,5.8
PVA10002,a,100,grid,width,first-fit,MaxD,F,T,solve,1093,985,10.9645,,,,7.7
PVA10002,a,100,grid,width,first-fit,MaxD,T,F,measure,1089,985,10.5584,84,7.2878,3.3418,5.7
PVA10002,a,100,grid,width,first-fit,MaxD,T,T,solve,1093,985,10.9645,,,,6.4
PVA10002,a,100,grid,width,tre,LM,F,F,measure,1089,985,10.5584,85,8.4298,2.1998,4.8
PVA10002,a,100,grid,width,tre,LM,F,T,solve,1097,985,11.3706,,,,8.7
PVA10002,a,100,grid,width,tre,LM,T,F,measure,1089,985,10.5584,85,8.4298,2.1998,6.0
PVA10002,a,100,grid,width,tre,LM,T,T,solve,1097,985,11.3706,,,,7.6
PVA10002,a,100,grid,width,tre,RM,F,F,measure,1090,985,10.6599,82,8.1734,2.5578,4.7
